id	address	end	name	calls	jumps	references	confidence	source
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084C976	4084C976		fn4084C976	10	0	10	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084C98A	4084C98A		fn4084C98A	19	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084C98A	4084C98A		fn4084C98A	19	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084C9A8	4084C9A8		fn4084C9A8	11	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084C9A8	4084C9A8		fn4084C9A8	11	0	11	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084CE52	4084CE52		fn4084CE52	12	1			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084CE52	4084CE52		fn4084CE52	12	1	13	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084CE78	4084CE78		fn4084CE78	9	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084CE78	4084CE78		fn4084CE78	9	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084EBAC	4084EBAC		fn4084EBAC	10	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084EBAC	4084EBAC		fn4084EBAC	10	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084FAD0	4084FAD0		fn4084FAD0	13	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4084FAD0	4084FAD0		fn4084FAD0	13	0	13	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408500F8	408500F8		fn408500F8	9	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408500F8	408500F8		fn408500F8	9	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40850380	40850380		fn40850380	8	0	8	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408509D0	408509D0		fn408509D0	8	0	8	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40850CA0	40850CA0		fn40850CA0	8	0	8	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408517B0	408517B0		fn408517B0	12	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408517B0	408517B0		fn408517B0	12	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40851FB6	40851FB6		Function candidate 40851FB6	0	45	45	0.7	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40852020	40852020		fn40852020	21	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40852020	40852020		fn40852020	21	0	21	0.95	rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40852084	40852084		fn40852084	8	0	8	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408520B6	408520B6		fn408520B6	9	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408520B6	408520B6		fn408520B6	9	0	9	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40852242	40852242		fn40852242	15	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40852242	40852242		fn40852242	15	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408523A0	408523A0		fn408523A0	18	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408523A0	408523A0		fn408523A0	18	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40852584	40852584		fn40852584	7	0	7	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40853010	40853010		fn40853010	10	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40853010	40853010		fn40853010	10	0	10	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408533E8	408533E8		fn408533E8	10	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408533E8	408533E8		fn408533E8	10	0	10	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408535B4	408535B4		fn408535B4	19	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408535B4	408535B4		fn408535B4	19	0	19	0.95	rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408536F6	408536F6		fn408536F6	8	0	8	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408537A0	408537A0		fn408537A0	9	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408537A0	408537A0		fn408537A0	9	0	9	0.95	rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40853DD8	40853DD8		fn40853DD8	8	0	8	0.95	stackimport
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40853E62	40853E62		fn40853E62	14	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40853E62	40853E62		fn40853E62	14	0	14	0.95	rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40853F36	40853F36		fn40853F36	11	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40853F36	40853F36		fn40853F36	11	0			rom_structure_analysis
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40854388	40854388		fn40854388	45	0			rom_structure_analysis
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40854388	40854388		fn40854388	45	0	45	0.95	rom_structure_analysis
